2019-05-27 11:50:01 INFO  DelegateServiceImpl:40 - Sending data to repository: Delegate [id=101, name=vishnu, address=Address [id=1112, building=unitone, street=talwade, city=pune], events=[Event [id=1112, eventname=talk, date=Sat Dec 21 00:00:00 IST 2019, city=pune]]]2019-05-27 12:11:19 INFO  DelegateServiceImpl:40 - Sending data to repository: Delegate [id=103, name=shailendra, address=Address [id=1113, building=unittwo, street=talwade, city=pune], events=[Event [id=1113, eventname=workshop, date=Sat Dec 21 00:00:00 IST 2019, city=pune]]]
2019-05-27 12:13:52 INFO  DelegateServiceImpl:40 - Sending data to repository: Delegate [id=104, name=vijay, address=Address [id=1114, building=unittwo, street=talwade, city=pune], events=[Event [id=1114, eventname=talk show, date=Thu Feb 21 00:00:00 IST 2019, city=pune]]]
2012-01-03 01:56:04 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=1201, building=qweqe, street=adada, city=asdad], events=[Event [id=101212, eventname=asdaot, date=Fri Nov 11 00:00:00 IST 1121, city=asp]]]
2012-01-03 01:56:04 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=1201, building=qweqe, street=adada, city=asdad], events=[Event [id=101212, eventname=asdaot, date=Fri Nov 11 00:00:00 IST 1121, city=asp]]]
2012-01-03 01:56:11 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=1201, building=qweqe, street=adada, city=asdad], events=[Event [id=1012121, eventname=asdaot, date=Fri Nov 11 00:00:00 IST 1121, city=asp]]]
2012-01-03 01:56:54 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=1201, building=qweqe, street=adada, city=asdad], events=[Event [id=1012121, eventname=asdaot, date=Fri Nov 11 00:00:00 IST 1121, city=asp]]]
2012-01-03 01:57:31 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123123, name=ujjawal, address=Address [id=1201, building=qweqe, street=adada, city=asdad], events=[Event [id=1012121, eventname=asdaot, date=Fri Nov 11 00:00:00 IST 1121, city=asp]]]
2012-01-03 16:09:46 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123, name=qwe, address=Address [id=123, building=qwe, street=ad, city=asdqw], events=[Event [id=1212121, eventname=qweqwe, date=null, city=dasda]]]
2012-01-03 16:12:03 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123, name=qwe, address=Address [id=123, building=qwe, street=ad, city=asdqw], events=[Event [id=1212121, eventname=qweqwe, date=null, city=dasda]]]
2012-01-03 16:18:49 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123, name=qwe, address=Address [id=123, building=qwe, street=ad, city=asdqw], events=[Event [id=1212121, eventname=qweqwe, date=Wed Nov 12 00:00:00 IST 1231, city=dasda]]]
2012-01-03 16:25:10 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=21212, name=safawe, address=Address [id=123412, building=qwerwer, street=asdfaw, city=asdfwe], events=[Event [id=1413, eventname=asgasdgc, date=Fri Dec 21 00:00:00 IST 1212, city=adqwd]]]
2012-01-03 16:36:33 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=107, name=barna, address=Address [id=212, building=unit, street=talwade, city=pune], events=[Event [id=121, eventname=ted talk, date=Sat Sep 21 00:00:00 IST 2019, city=mumbai]]]
2012-01-03 16:39:05 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=107, name=barna, address=Address [id=212, building=unit, street=talwade, city=pune], events=[Event [id=121, eventname=ted talk, date=Sat Sep 21 00:00:00 IST 2019, city=mumbai]]]
2012-01-03 16:43:04 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=107, name=barna, address=Address [id=212, building=unit, street=talwade, city=pune], events=[Event [id=121, eventname=ted talk, date=Sat Sep 21 00:00:00 IST 2019, city=mumbai]]]
2012-01-03 16:43:30 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=107, name=barna, address=Address [id=212, building=unit, street=talwade, city=pune], events=[Event [id=122, eventname=disc, date=Sat Sep 21 00:00:00 IST 2019, city=mumbai]]]
2012-01-03 16:44:59 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=108, name=shail, address=Address [id=212, building=unit, street=talwade, city=pune], events=[Event [id=123, eventname=cricket, date=Sat Sep 21 00:00:00 IST 2019, city=mumbai]]]
2012-01-03 16:46:21 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=109, name=shail, address=Address [id=2123, building=unit, street=talwade, city=pune], events=[Event [id=1231, eventname=football, date=Sat Sep 21 00:00:00 IST 2019, city=mumbai]]]
2012-01-03 16:47:33 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=109, name=shail, address=Address [id=2123, building=unit, street=talwade, city=pune], events=[Event [id=1231, eventname=football, date=Sat Sep 21 00:00:00 IST 2019, city=mumbai]]]
2012-01-03 16:47:45 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=110, name=shailendra, address=Address [id=2123, building=unit, street=talwade, city=pune], events=[Event [id=1231, eventname=football, date=Sat Sep 21 00:00:00 IST 2019, city=mumbai]]]
2012-01-03 17:55:34 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=74, name=sdaf, address=Address [id=12, building=zwadc, street=qwe, city=adz], events=[Event [id=12, eventname=qwaad, date=Wed Dec 21 00:00:00 IST 1121, city=qmgg]]]
2012-01-03 17:56:04 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=74, name=sdaf, address=Address [id=12, building=zwadc, street=qwe, city=adz], events=[Event [id=12, eventname=qwaad, date=Wed Dec 21 00:00:00 IST 1121, city=qmgg]]]
2012-01-03 18:12:16 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123, name=qer, address=Address [id=123, building=qweqwead, street=dasdq, city=asdawe], events=[Event [id=756, eventname=qwea, date=Wed Dec 21 00:00:00 IST 1211, city=asfgva]]]
2012-01-03 18:12:49 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123, name=qer, address=Address [id=123, building=qweqwead, street=dasdq, city=asdawe], events=[Event [id=7567, eventname=qwea, date=Wed Dec 21 00:00:00 IST 1211, city=asfgva]]]
2012-01-03 18:13:23 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=12341, name=qer, address=Address [id=123, building=qweqwead, street=dasdq, city=asdawe], events=[Event [id=123, eventname=qwea, date=Wed Dec 21 00:00:00 IST 1211, city=asfgva]]]
2012-01-03 18:13:35 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=12341, name=qer, address=Address [id=123, building=qweqwead, street=dasdq, city=asdawe], events=[Event [id=456, eventname=fsd, date=Wed Dec 21 00:00:00 IST 1211, city=affqwdc]]]
2012-01-03 18:15:05 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=67890, name=qer, address=Address [id=123, building=qweqwead, street=dasdq, city=asdawe], events=[Event [id=35765, eventname=fsd, date=Wed Dec 21 00:00:00 IST 1211, city=affqwdc]]]
2012-01-03 18:15:13 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=67890, name=qer, address=Address [id=123, building=qweqwead, street=dasdq, city=asdawe], events=[Event [id=986, eventname=fsdil, date=Wed Dec 21 00:00:00 IST 1211, city=fj7y]]]
2012-01-03 18:17:51 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=12331, name=barna, address=Address [id=1123, building=number 10, street=downing street, city=london], events=[Event [id=986, eventname=talk, date=Sat Dec 21 00:00:00 IST 2024, city=london]]]
2012-01-03 18:18:51 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=121, name=shailendra, address=Address [id=113, building=unit1, street=qwe, city=mumbai], events=[Event [id=926, eventname=java, date=Mon Nov 11 00:00:00 IST 2024, city=delhi]]]
2012-01-03 18:20:12 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=31, name=ramesh, address=Address [id=123, building=qwq, street=qd, city=ny], events=[Event [id=12, eventname=.net, date=Mon Oct 21 00:00:00 IST 2019, city=ny]]]
2012-01-03 18:21:12 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=54, name=evac, address=Address [id=1235, building=qwqq, street=qdwq, city=nyc], events=[Event [id=12171, eventname=java, date=Mon Oct 21 00:00:00 IST 2019, city=ny]]]
2012-01-03 18:33:15 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=856, name=sdg, address=Address [id=234, building=awr, street=sdg, city=fgh], events=[Event [id=534, eventname=javascript, date=Fri Dec 21 00:00:00 IST 1212, city=qeaswrt]]]
2012-01-03 18:44:21 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=1231, name=barna, address=Address [id=21, building=mumbai, street=mumbai, city=mumbai], events=[Event [id=12, eventname=ted talk, date=Wed Dec 21 00:00:00 IST 1211, city=mumbai]]]
2012-01-03 21:56:20 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=123, name=barna, address=Address [id=121, building=unitone, street=talwade, city=pune], events=[Event [id=12, eventname=talk show, date=Mon Dec 21 00:00:00 IST 1998, city=mumbai]]]
2019-06-07 16:30:48 INFO  DelegateServiceImpl:41 - Sending data to repository: Delegate [id=12312, name=test, address=Address [id=123, building=asdas, street=asdas, city=asdas], events=[Event [id=1231231, eventname=sdfsdf, date=Sat Nov 12 00:00:00 IST 1211, city=qweqwe]]]
